tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Psychology,4919,University of Toronto at Scarborough,David,,Nussbaum,890128,28,good,TEACHER,PROFESSOR,3.6
Sociology,4919,University of Toronto at Scarborough,Kriste,,O'Neil,1961566,4,good,TEACHER,PROFESSOR,3.9
Accounting,4919,University of Toronto at Scarborough,Susan,,O'Reilly,705715,0,zero,TEACHER,PROFESSOR,N/A
Health Science,4919,University of Toronto at Scarborough,Maya,,Obadia,2097357,7,poor,TEACHER,PROFESSOR,1.9
English,4919,University of Toronto at Scarborough,Kathleen,,Ogden,2267384,1,good,TEACHER,PROFESSOR,5.0
Biological Sciences,4919,University of Toronto at Scarborough,Mary,,Olaveson,265786,79,good,TEACHER,PROFESSOR,4.2
History,4919,University of Toronto at Scarborough,Vanessa,,Oliveira,2365384,0,zero,TEACHER,PROFESSOR,N/A
Political Science,4919,University of Toronto at Scarborough,David,,Onley,2167572,3,good,TEACHER,PROFESSOR,4.0
Film,4919,University of Toronto at Scarborough,MIDI,,ONODERA,2472451,1,poor,TEACHER,PROFESSOR,1.0
Anthropology,4919,University of Toronto at Scarborough,Trevor,,Orchard,1248246,3,good,TEACHER,PROFESSOR,4.0
Management,4919,University of Toronto at Scarborough,Peter,,Ostrowski,969164,3,poor,TEACHER,PROFESSOR,1.0
Psychology,4919,University of Toronto at Scarborough,Elizabeth,,Page-Gould,1512422,18,good,TEACHER,PROFESSOR,4.8
Computer Science,4919,University of Toronto at Scarborough,Richard,,Pancer,1760735,5,average,TEACHER,PROFESSOR,2.6
