tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
History,1484,University of Toronto - St. George Campus,Allison,,Graham,2482074,1,poor,TEACHER,PROFESSOR,1.0
History,1484,University of Toronto - St. George Campus,Paolo,,Granata,2318408,2,average,TEACHER,PROFESSOR,2.5
Humanities,1484,University of Toronto - St. George Campus,Paolo,,Granata,2318108,16,average,TEACHER,PROFESSOR,3.2
English,1484,University of Toronto - St. George Campus,Julia,,Grandison,1909868,1,good,TEACHER,PROFESSOR,4.0
Psychology,1484,University of Toronto - St. George Campus,Isabele,,Granic,1462896,0,zero,TEACHER,PROFESSOR,N/A
Medicine,1484,University of Toronto - St. George Campus,Denis,,Grant,353946,3,good,TEACHER,PROFESSOR,4.3
Linguistics,1484,University of Toronto - St. George Campus,Meg,,Grant,2057074,2,average,TEACHER,PROFESSOR,2.5
Civil Engineering,1484,University of Toronto - St. George Campus,Giovanni,,Grasselli,1291865,17,average,TEACHER,PROFESSOR,3.4
English,1484,University of Toronto - St. George Campus,Peter,,Grav,809157,12,good,TEACHER,PROFESSOR,3.6
Civil Engineering,1484,University of Toronto - St. George Campus,Michael,,Gray,1052728,2,average,TEACHER,PROFESSOR,2.8
Philosophy,1484,University of Toronto - St. George Campus,Anna,,Greco,662945,2,good,TEACHER,PROFESSOR,4.8
Theology,1484,University of Toronto - St. George Campus,Kenneth,,Green,60808,7,good,TEACHER,PROFESSOR,3.8
Near Eastern Studies,1484,University of Toronto - St. George Campus,Sharon,,Green,957885,2,good,TEACHER,PROFESSOR,4.5
Political Science,1484,University of Toronto - St. George Campus,Jessica,,Green,2489126,2,good,TEACHER,PROFESSOR,4.5
Sociology,1484,University of Toronto - St. George Campus,Adam,,Green,948992,41,good,TEACHER,PROFESSOR,4.2
Chemistry,1484,University of Toronto - St. George Campus,Sharonna,,Greenberg,1493768,2,good,TEACHER,PROFESSOR,5.0
Biology,1484,University of Toronto - St. George Campus,Jack,,Greenblatt,874827,2,average,TEACHER,PROFESSOR,3.0
English,1484,University of Toronto - St. George Campus,Roger,,Greenwald,191570,9,good,TEACHER,PROFESSOR,4.0
English,1484,University of Toronto - St. George Campus,John,,Greenwood,1323831,0,zero,TEACHER,PROFESSOR,N/A
English,1484,University of Toronto - St. George Campus,Suzanne,,Grégoire,1827158,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1484,University of Toronto - St. George Campus,Taryn,,Grieder,2454365,1,good,TEACHER,PROFESSOR,4.0
Computer Science,1484,University of Toronto - St. George Campus,Paul,,Gries,30803,92,good,TEACHER,PROFESSOR,4.5
East Asian Studies,1484,University of Toronto - St. George Campus,Caitlin,,Griffiths,2160704,2,good,TEACHER,PROFESSOR,4.5
Environmental Studies,1484,University of Toronto - St. George Campus,Lino,,Grima,934119,0,zero,TEACHER,PROFESSOR,N/A
Information Science,1484,University of Toronto - St. George Campus,Sara,,Grimes,2073830,8,average,TEACHER,PROFESSOR,2.8
Biology,1484,University of Toronto - St. George Campus,Mart,,Gross,573526,21,good,TEACHER,PROFESSOR,3.5
Women's Studies,1484,University of Toronto - St. George Campus,Zoe,,Gross,2351663,2,good,TEACHER,PROFESSOR,3.5
Computer Science,1484,University of Toronto - St. George Campus,Roger,,Grosse,2389345,15,poor,TEACHER,PROFESSOR,1.9
Mechanical Engineering,1484,University of Toronto - St. George Campus,Michael,,Gruninger,1289075,4,good,TEACHER,PROFESSOR,5.0
Psychology,1484,University of Toronto - St. George Campus,Joan,,Grusec,32244,13,poor,TEACHER,PROFESSOR,2.4
Mathematics,1484,University of Toronto - St. George Campus,Marco,,Gualtieri,1480489,11,good,TEACHER,PROFESSOR,4.2
Languages,1484,University of Toronto - St. George Campus,Francesco,,Guardiani,45833,26,average,TEACHER,PROFESSOR,3.3
Engineering,1484,University of Toronto - St. George Campus,Axel,,Guenther,1141411,1,good,TEACHER,PROFESSOR,4.0
History,1484,University of Toronto - St. George Campus,Alexandra,,Guerson,2530436,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1484,University of Toronto - St. George Campus,Francisco,,Guevara Parra,2407458,1,average,TEACHER,PROFESSOR,3.0
Psychology,1484,University of Toronto - St. George Campus,Alex,,Guindon,1267282,1,poor,TEACHER,PROFESSOR,2.0
Electrical Engineering,1484,University of Toronto - St. George Campus,Glenn,,Gulak,482387,13,good,TEACHER,PROFESSOR,4.6
Engineering,1484,University of Toronto - St. George Campus,Omer,,Gulder,905982,6,good,TEACHER,PROFESSOR,4.9
Economics,1484,University of Toronto - St. George Campus,Morley,,Gunderson,31244,7,good,TEACHER,PROFESSOR,4.3
Classics,1484,University of Toronto - St. George Campus,Erik,,Gunderson,1613098,6,poor,TEACHER,PROFESSOR,1.8
Civil Engineering,1484,University of Toronto - St. George Campus,Serhan,,Guner,1679979,9,good,TEACHER,PROFESSOR,3.6
Political Science,1484,University of Toronto - St. George Campus,Vsevolod,,Gunitskiy,1731129,5,good,TEACHER,PROFESSOR,4.9
Political Science,1484,University of Toronto - St. George Campus,Seva,,Gunitsky,2371229,5,good,TEACHER,PROFESSOR,5.0
History,1484,University of Toronto - St. George Campus,Nick,,Gunz,1390048,7,good,TEACHER,PROFESSOR,4.6
Mathematics,1484,University of Toronto - St. George Campus,Meng,,Guo,2428223,4,good,TEACHER,PROFESSOR,4.5
Science,1484,University of Toronto - St. George Campus,Debbie,,Gurfinkel,774434,27,good,TEACHER,PROFESSOR,3.9
English,1484,University of Toronto - St. George Campus,Elissa,,Gurman,2028778,3,average,TEACHER,PROFESSOR,3.3
Music,1484,University of Toronto - St. George Campus,Sarah,,Gutsche-Miller,1920923,2,good,TEACHER,PROFESSOR,4.5
Biology,1484,University of Toronto - St. George Campus,David,,Guttman,373447,14,average,TEACHER,PROFESSOR,3.2
Mathematics,1484,University of Toronto - St. George Campus,Osvaldo,,Guzman Gonzalez,2507527,1,poor,TEACHER,PROFESSOR,2.0
Criminal Justice,1484,University of Toronto - St. George Campus,Julius,,Haag,2507372,3,average,TEACHER,PROFESSOR,3.0
Religion,1484,University of Toronto - St. George Campus,Keith,,Haartman,466152,8,good,TEACHER,PROFESSOR,4.9
Dentistry,1484,University of Toronto - St. George Campus,Daniel,,Haas,645915,3,good,TEACHER,PROFESSOR,5.0
Philosophy,1484,University of Toronto - St. George Campus,Matt,,Habermehl,1589215,2,good,TEACHER,PROFESSOR,4.2
Geography,1484,University of Toronto - St. George Campus,Jason,,Hackworth,169956,29,good,TEACHER,PROFESSOR,4.0
Political Science,1484,University of Toronto - St. George Campus,Rodney,,Haddow,441778,33,average,TEACHER,PROFESSOR,3.3
Accounting,1484,University of Toronto - St. George Campus,Thomas,,Haddrath,1695118,10,good,TEACHER,PROFESSOR,4.1
Computer Science,1484,University of Toronto - St. George Campus,Vassos,,Hadzilacos,29823,29,good,TEACHER,PROFESSOR,3.8
Languages,1484,University of Toronto - St. George Campus,Michael,,Hager,283332,11,average,TEACHER,PROFESSOR,2.6
History,1484,University of Toronto - St. George Campus,Chris,,Hagerman,414879,7,good,TEACHER,PROFESSOR,3.8
English,1484,University of Toronto - St. George Campus,Kai,,Hainer,1811646,6,good,TEACHER,PROFESSOR,4.3
Music,1484,University of Toronto - St. George Campus,John,,Haines,100497,10,average,TEACHER,PROFESSOR,3.2
Mathematics,1484,University of Toronto - St. George Campus,Iva,,Halacheva,2041394,2,good,TEACHER,PROFESSOR,5.0
Economics,1484,University of Toronto - St. George Campus,Yosh,,Halberstam,2153043,2,good,TEACHER,PROFESSOR,4.0
History,1484,University of Toronto - St. George Campus,Bradley,,Hald,2333310,1,good,TEACHER,PROFESSOR,5.0
Linguistics,1484,University of Toronto - St. George Campus,Erin,,Hall,2265937,2,good,TEACHER,PROFESSOR,5.0
Economics,1484,University of Toronto - St. George Campus,jonathan,,hall,2027931,11,average,TEACHER,PROFESSOR,3.3
Music,1484,University of Toronto - St. George Campus,Wallace,,Halladay,1948504,2,poor,TEACHER,PROFESSOR,1.2
Geology,1484,University of Toronto - St. George Campus,Henry,,Halls,112022,8,good,TEACHER,PROFESSOR,3.9
Pharmacology,1484,University of Toronto - St. George Campus,Anita,,Hamadani,2198348,7,average,TEACHER,PROFESSOR,3.3
Science,1484,University of Toronto - St. George Campus,Paul,,Hamel,39251,23,average,TEACHER,PROFESSOR,3.1
Medicine,1484,University of Toronto - St. George Campus,Naureen,,Hamidani,2423898,0,zero,TEACHER,PROFESSOR,N/A
